{'time': 1.0277307033538818, 'x': 0.05081691670254313, 'y': 0.018427565463000683, 'z': 0.048668367858761705, 'yaw': 0.259494092004674, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0337464809417725, 'x': 0.05083868429976456, 'y': 0.018521113457576167, 'z': 0.04868767026254911, 'yaw': 0.26375002828114924, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0397634506225586, 'x': 0.05083742713179806, 'y': 0.018522030686238682, 'z': 0.048722642591623205, 'yaw': 0.2635113595054933, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0457780361175537, 'x': 0.05084233173993346, 'y': 0.01850703759219041, 'z': 0.048740221314115574, 'yaw': 0.26383161710154385, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.051795482635498, 'x': 0.0508034549865078, 'y': 0.018437782884057244, 'z': 0.048689211696132294, 'yaw': 0.2594940054896031, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0578100681304932, 'x': 0.050814995420704986, 'y': 0.018430560687328554, 'z': 0.04863925453654187, 'yaw': 0.25975514503137676, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0638277530670166, 'x': 0.050804479853892213, 'y': 0.018433271524332474, 'z': 0.04864784546719263, 'yaw': 0.2594364966818934, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0698425769805908, 'x': 0.05084741391835182, 'y': 0.0185219050372505, 'z': 0.04871285016056371, 'yaw': 0.2641583398770376, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0758593082427979, 'x': 0.050829394526526656, 'y': 0.018435755769977604, 'z': 0.04865772048615121, 'yaw': 0.2596374019016873, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.081876277923584, 'x': 0.050825680510671295, 'y': 0.018436963102087235, 'z': 0.04866496367138394, 'yaw': 0.26009584216949466, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0878911018371582, 'x': 0.05083863269009456, 'y': 0.01851424961273784, 'z': 0.04871609369637238, 'yaw': 0.263647642470494, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0939075946807861, 'x': 0.050792373359763145, 'y': 0.018427554440561766, 'z': 0.048671643141731766, 'yaw': 0.25947592299233924, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0999219417572021, 'x': 0.05078970379875471, 'y': 0.018427241613256654, 'z': 0.048707339867744205, 'yaw': 0.25921160822979933, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1059393882751465, 'x': 0.050829518915680785, 'y': 0.018512290408875996, 'z': 0.048736905838885146, 'yaw': 0.2636966859482145, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1119556427001953, 'x': 0.050843606331055044, 'y': 0.01851270142318687, 'z': 0.048725208977375034, 'yaw': 0.2634832031882973, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.117971658706665, 'x': 0.05080811830261581, 'y': 0.01841847507047309, 'z': 0.04865071855200684, 'yaw': 0.2600467671685026, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1239874362945557, 'x': 0.050812200903595915, 'y': 0.018439704021377623, 'z': 0.04864911792443056, 'yaw': 0.2593412082496541, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1300034523010254, 'x': 0.05081883585128517, 'y': 0.01843692020486952, 'z': 0.04865285165782371, 'yaw': 0.2597143846337759, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1360180377960205, 'x': 0.050805201971950056, 'y': 0.018425175372960498, 'z': 0.04865864118286224, 'yaw': 0.2597017366127689, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1420338153839111, 'x': 0.0507909177517043, 'y': 0.01842657843073728, 'z': 0.048665240640234, 'yaw': 0.25976868077407383, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.14805006980896, 'x': 0.050802292005036075, 'y': 0.01843193734036966, 'z': 0.04865251798244677, 'yaw': 0.25967216086787864, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1540660858154297, 'x': 0.05085386174424163, 'y': 0.01852481666837937, 'z': 0.04869645018480497, 'yaw': 0.26391435011398623, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1600821018218994, 'x': 0.05082712109780458, 'y': 0.01844116674848139, 'z': 0.04863943809721631, 'yaw': 0.2596681282874422, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1660988330841064, 'x': 0.05084614851144368, 'y': 0.018518667242270602, 'z': 0.04870433281916163, 'yaw': 0.2640449320806381, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1721141338348389, 'x': 0.05082352823415868, 'y': 0.01852612939403058, 'z': 0.04870881715835422, 'yaw': 0.2635345264990112, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.178130865097046, 'x': 0.05083928945460542, 'y': 0.018509006715752934, 'z': 0.048720354757145985, 'yaw': 0.2634020745057495, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1841471195220947, 'x': 0.0508150336318857, 'y': 0.01842952819672052, 'z': 0.048695847628830266, 'yaw': 0.25942589507241776, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1901631355285645, 'x': 0.05079399439932835, 'y': 0.018433308402133322, 'z': 0.04871254075734224, 'yaw': 0.2593227717516673, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
