{'time': 1.0362966060638428, 'x': -0.03400175616317009, 'y': 0.0033605452769219436, 'z': 0.04009039503829638, 'yaw': -0.021845701144195928, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0422799587249756, 'x': -0.0339682284963632, 'y': 0.0034475471463679555, 'z': 0.03993745171951829, 'yaw': -0.02282298979498254, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0562610626220703, 'x': -0.03397675265882932, 'y': 0.0034865759058344908, 'z': 0.040010316734916465, 'yaw': -0.022178384390009853, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0662775039672852, 'x': -0.03386575047365348, 'y': 0.0032576501111693237, 'z': 0.03976622107919053, 'yaw': -0.017385485523298883, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.072253704071045, 'x': -0.03386096349683312, 'y': 0.003272865565346401, 'z': 0.0397833349694023, 'yaw': -0.01700923550011435, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0822267532348633, 'x': -0.033937499128231664, 'y': 0.003449674172211737, 'z': 0.03993610294244206, 'yaw': -0.02251382938102786, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0922000408172607, 'x': -0.03394280929593496, 'y': 0.00346376010760817, 'z': 0.039951359919988834, 'yaw': -0.02214705486711832, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1021733283996582, 'x': -0.03397673706727084, 'y': 0.003454992124045968, 'z': 0.03995329832732655, 'yaw': -0.021912902833777892, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1164333820343018, 'x': -0.03388740073548639, 'y': 0.0036817166936816267, 'z': 0.03992653124167373, 'yaw': -0.025814469012248153, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1223533153533936, 'x': -0.0339525400381215, 'y': 0.0034227801756852973, 'z': 0.039957312886040916, 'yaw': -0.021003234569912266, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1362831592559814, 'x': -0.03392426528983306, 'y': 0.003492456162144843, 'z': 0.039961060084367485, 'yaw': -0.022017372874827856, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1422734260559082, 'x': -0.033890052767058886, 'y': 0.0037031565062458634, 'z': 0.039870148222540584, 'yaw': -0.02721896786449829, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1565330028533936, 'x': -0.03394100345534525, 'y': 0.003471845428672619, 'z': 0.03996471921459361, 'yaw': -0.02178013083723407, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
