{'time': 1.0207157135009766, 'x': 9.659258262891136, 'y': -2.5881904510235203, 'z': 0, 'yaw': 31.154127148098958, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.032747745513916, 'x': 9.961946980917604, 'y': -0.8715574274748789, 'z': 0, 'yaw': 31.328660073298387, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0447797775268555, 'x': 9.96194698091731, 'y': 0.8715574274782472, 'z': 0, 'yaw': 31.503192998497816, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.056811809539795, 'x': 9.65925826289026, 'y': 2.588190451026786, 'z': 0, 'yaw': 31.677725923697245, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0688438415527344, 'x': 9.063077870365824, 'y': 4.226182617408441, 'z': 0, 'yaw': 31.852258848896675, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0808758735656738, 'x': 8.191520442889024, 'y': 5.735764363511739, 'z': 0, 'yaw': 32.026791774096104, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0929081439971924, 'x': 7.071067811864399, 'y': 7.071067811866552, 'z': 0, 'yaw': 32.20132469929553, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1049399375915527, 'x': 5.7357643635092455, 'y': 8.19152044289077, 'z': 0, 'yaw': 32.37585762449496, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1169719696044922, 'x': 4.226182617405684, 'y': 9.063077870367112, 'z': 0, 'yaw': 32.55039054969439, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1290040016174316, 'x': 2.5881904510238467, 'y': 9.659258262891047, 'z': 0, 'yaw': 32.72492347489382, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.141036033630371, 'x': 0.8715574274752157, 'y': 9.961946980917576, 'z': 0, 'yaw': 32.89945640009325, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1530680656433105, 'x': -0.8715574274779103, 'y': 9.96194698091734, 'z': 0, 'yaw': 33.07398932529268, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.165099859237671, 'x': -2.5881904510264597, 'y': 9.659258262890347, 'z': 0, 'yaw': 33.24852225049211, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1771318912506104, 'x': -4.226182617408135, 'y': 9.063077870365968, 'z': 0, 'yaw': 33.42305517569154, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.189164161682129, 'x': -5.735764363511461, 'y': 8.191520442889217, 'z': 0, 'yaw': 33.59758810089097, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2011959552764893, 'x': -7.071067811866312, 'y': 7.071067811864639, 'z': 0, 'yaw': 33.772121026090396, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2132279872894287, 'x': -8.191520442890575, 'y': 5.735764363509523, 'z': 0, 'yaw': 33.946653951289825, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.225259780883789, 'x': -9.063077870366968, 'y': 4.22618261740599, 'z': 0, 'yaw': 34.121186876489254, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2372920513153076, 'x': -9.65925826289096, 'y': 2.588190451024173, 'z': 0, 'yaw': 34.29571980168868, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.249324083328247, 'x': -9.961946980917546, 'y': 0.8715574274755524, 'z': 0, 'yaw': 34.47025272688811, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2613558769226074, 'x': -9.961946980917368, 'y': -0.8715574274775735, 'z': 0, 'yaw': 34.64478565208754, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.273388147354126, 'x': -9.659258262890434, 'y': -2.588190451026133, 'z': 0, 'yaw': 34.81931857728697, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
