{'time': 1.015674352645874, 'x': 0.3802140727752437, 'y': -0.009054208477393322, 'z': 0.04478695545560995, 'yaw': -0.017689244734993004, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0217187404632568, 'x': 0.38022119039749486, 'y': -0.0090436699580052, 'z': 0.0448012244896668, 'yaw': -0.01781878852431973, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0277352333068848, 'x': 0.3802094229903928, 'y': -0.00903388192613978, 'z': 0.04479984296641745, 'yaw': -0.017623802525665866, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0337505340576172, 'x': 0.38019050541741944, 'y': -0.00904228468990025, 'z': 0.044793343978266856, 'yaw': -0.017783787628602887, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0397658348083496, 'x': 0.38026015617443326, 'y': -0.008983538486963318, 'z': 0.04486930507780549, 'yaw': -0.020377031588434846, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0457820892333984, 'x': 0.3802725881406451, 'y': -0.008979113522765779, 'z': 0.04486864585172037, 'yaw': -0.02042793949003574, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0517981052398682, 'x': 0.3802736526227831, 'y': -0.008980101454026486, 'z': 0.044853638386759924, 'yaw': -0.02017810924017649, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.057814121246338, 'x': 0.3802658925365431, 'y': -0.00899175660116071, 'z': 0.04488256572529863, 'yaw': -0.019816895029173942, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0638303756713867, 'x': 0.38027554739600333, 'y': -0.008990048834091217, 'z': 0.044885592300325794, 'yaw': -0.020218999747497968, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0698482990264893, 'x': 0.3802596680389759, 'y': -0.008991414529479482, 'z': 0.04486835509489129, 'yaw': -0.01980816910226313, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.075864553451538, 'x': 0.3802251139731251, 'y': -0.009032402259499046, 'z': 0.0447698826536494, 'yaw': -0.017944323366934967, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.081878662109375, 'x': 0.38022784967741696, 'y': -0.009040776894202686, 'z': 0.04478086198245324, 'yaw': -0.017414960175357486, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0878944396972656, 'x': 0.3802523104365714, 'y': -0.008987703162180446, 'z': 0.044880642402423655, 'yaw': -0.019839363345383276, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0939111709594727, 'x': 0.3802663662821745, 'y': -0.008989794334248432, 'z': 0.044853712346983494, 'yaw': -0.020491116070799897, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0999259948730469, 'x': 0.38028108765922186, 'y': -0.008982819953871802, 'z': 0.044866591585458915, 'yaw': -0.020309256574563506, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1059422492980957, 'x': 0.38027695874589756, 'y': -0.008983010899616626, 'z': 0.04486950863049131, 'yaw': -0.019981259390733364, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1119592189788818, 'x': 0.3802580621320435, 'y': -0.008988107887041139, 'z': 0.04487812706102946, 'yaw': -0.019902416035722403, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1179511547088623, 'x': 0.3802642084840421, 'y': -0.008988559609046808, 'z': 0.04487344728438196, 'yaw': -0.019824947042992314, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.123967170715332, 'x': 0.3802803075622018, 'y': -0.00898871449495641, 'z': 0.04486658774976801, 'yaw': -0.01975637804485597, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1299831867218018, 'x': 0.3802490848168781, 'y': -0.009044908514410036, 'z': 0.044784795680132425, 'yaw': -0.017733338416266342, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1359992027282715, 'x': 0.3802650247389553, 'y': -0.008974859793742258, 'z': 0.0448726484593309, 'yaw': -0.01998253632074931, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1420152187347412, 'x': 0.3802059908028279, 'y': -0.009043031898043017, 'z': 0.044805920830815124, 'yaw': -0.017466495988266217, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.148031234741211, 'x': 0.3802571503064589, 'y': -0.008991597614544702, 'z': 0.04485791231426059, 'yaw': -0.020055428275902898, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1540472507476807, 'x': 0.38027409126551687, 'y': -0.00898943017011166, 'z': 0.044871286321800076, 'yaw': -0.020180613483200105, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1600630283355713, 'x': 0.38028067298403256, 'y': -0.00899165531202021, 'z': 0.04487421165723777, 'yaw': -0.02011738432853427, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.165234088897705, 'x': 0.3802223544527441, 'y': -0.0090418811219817, 'z': 0.04482052278394323, 'yaw': -0.01763795855039163, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1712470054626465, 'x': 0.3802659080006606, 'y': -0.008995268117526007, 'z': 0.04487947018863458, 'yaw': -0.020491987385239163, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1772394180297852, 'x': 0.3802584121942815, 'y': -0.008982707916482244, 'z': 0.04486689698857984, 'yaw': -0.019852840441841657, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1832592487335205, 'x': 0.38022724842687683, 'y': -0.009041586778766467, 'z': 0.04477853960245582, 'yaw': -0.01780714835082975, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
