{'time': 1.0299737453460693, 'x': -0.9339395509045738, 'y': 0.07213917304508329, 'z': 0.049179198622156486, 'yaw': 0.1505918546801514, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0410044193267822, 'x': -0.9338959428245409, 'y': 0.07207230270600738, 'z': 0.04903142105366048, 'yaw': 0.15207850907529338, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0513317584991455, 'x': -0.9339195163334769, 'y': 0.07205872576408796, 'z': 0.049158705359318614, 'yaw': 0.15123523772761013, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0603275299072266, 'x': -0.9339100303593804, 'y': 0.07210467591003583, 'z': 0.049132761035624424, 'yaw': 0.15119300898100743, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.066347599029541, 'x': -0.9339411120874042, 'y': 0.07213141327120999, 'z': 0.0490664727872936, 'yaw': 0.15305963586785995, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0810658931732178, 'x': -0.9339252233677817, 'y': 0.07207461969192618, 'z': 0.04913046674109045, 'yaw': 0.1516903425867542, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0909497737884521, 'x': -0.9339230867099936, 'y': 0.07208342808256807, 'z': 0.04913774717180858, 'yaw': 0.15173598015716488, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1009788513183594, 'x': -0.934006987725306, 'y': 0.07230130026449251, 'z': 0.04874923006074681, 'yaw': 0.14772112582633312, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1110138893127441, 'x': -0.9339272159558987, 'y': 0.07211794416285555, 'z': 0.0491920506526569, 'yaw': 0.14993095723785824, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1210205554962158, 'x': -0.9339356358675615, 'y': 0.07208421703705321, 'z': 0.04917642215785123, 'yaw': 0.15106694767848386, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1302902698516846, 'x': -0.9339494620353963, 'y': 0.07215088239705313, 'z': 0.04919513632289268, 'yaw': 0.1515705119914653, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
