{'time': 1.0222551822662354, 'x': -1.782000000000024, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.0282697677612305, 'x': -1.781500000000024, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.033759593963623, 'x': -1.7810000000000241, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.040069341659546, 'x': -1.7805000000000242, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.045583724975586, 'x': -1.7800000000000242, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.0515916347503662, 'x': -1.7795000000000243, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.0571081638336182, 'x': -1.7790000000000243, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.063124179840088, 'x': -1.7785000000000244, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.0686137676239014, 'x': -1.7780000000000244, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.0741534233093262, 'x': -1.7775000000000245, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.0796680450439453, 'x': -1.7770000000000246, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.0851843357086182, 'x': -1.7765000000000246, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.0906970500946045, 'x': -1.7760000000000247, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.0962119102478027, 'x': -1.7755000000000247, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.1022248268127441, 'x': -1.7750000000000248, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.1077406406402588, 'x': -1.7745000000000248, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.1132547855377197, 'x': -1.774000000000025, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.118764877319336, 'x': -1.773500000000025, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.1242883205413818, 'x': -1.773000000000025, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.1303000450134277, 'x': -1.772500000000025, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.1363158226013184, 'x': -1.772000000000025, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.1418063640594482, 'x': -1.7715000000000252, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.1473448276519775, 'x': -1.7710000000000252, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.1528613567352295, 'x': -1.7705000000000253, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.1588783264160156, 'x': -1.7700000000000253, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.1648938655853271, 'x': -1.7695000000000254, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.1704106330871582, 'x': -1.7690000000000254, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.1764237880706787, 'x': -1.7685000000000255, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.182183027267456, 'x': -1.7680000000000256, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.1877012252807617, 'x': -1.7675000000000256, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.193708896636963, 'x': -1.7670000000000257, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.199223518371582, 'x': -1.7665000000000257, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.204737663269043, 'x': -1.7660000000000258, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.2102293968200684, 'x': -1.7655000000000258, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.216266393661499, 'x': -1.7650000000000259, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.2217838764190674, 'x': -1.764500000000026, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.227297067642212, 'x': -1.764000000000026, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.2328145503997803, 'x': -1.763500000000026, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.2383265495300293, 'x': -1.763000000000026, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.2438366413116455, 'x': -1.7625000000000262, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.2493555545806885, 'x': -1.7620000000000262, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.2548706531524658, 'x': -1.7615000000000263, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.2603623867034912, 'x': -1.7610000000000263, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.265899896621704, 'x': -1.7605000000000264, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.2714183330535889, 'x': -1.7600000000000264, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.2769060134887695, 'x': -1.7595000000000265, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.2824242115020752, 'x': -1.7590000000000265, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.2889432907104492, 'x': -1.7585000000000266, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.2959568500518799, 'x': -1.7580000000000267, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.3025014400482178, 'x': -1.7575000000000267, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.3085155487060547, 'x': -1.7570000000000268, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.3150336742401123, 'x': -1.7565000000000268, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.320511817932129, 'x': -1.7560000000000269, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.3261075019836426, 'x': -1.755500000000027, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.3318521976470947, 'x': -1.755000000000027, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.3373663425445557, 'x': -1.754500000000027, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.342881202697754, 'x': -1.754000000000027, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.348395824432373, 'x': -1.7535000000000271, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.3539104461669922, 'x': -1.7530000000000272, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.3601558208465576, 'x': -1.7525000000000273, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.3656697273254395, 'x': -1.7520000000000273, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.3716869354248047, 'x': -1.7515000000000274, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.3772015571594238, 'x': -1.7510000000000274, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.382713794708252, 'x': -1.7505000000000275, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.388228178024292, 'x': -1.7500000000000275, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.39424467086792, 'x': -1.7495000000000276, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.4002563953399658, 'x': -1.7490000000000276, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.4062809944152832, 'x': -1.7485000000000277, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.411766529083252, 'x': -1.7480000000000278, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.4173083305358887, 'x': -1.7475000000000278, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.4228219985961914, 'x': -1.7470000000000279, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.4283373355865479, 'x': -1.746500000000028, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.4338510036468506, 'x': -1.746000000000028, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.4398648738861084, 'x': -1.745500000000028, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.4453566074371338, 'x': -1.745000000000028, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.45139741897583, 'x': -1.7445000000000281, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.4568870067596436, 'x': -1.7440000000000282, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.4629261493682861, 'x': -1.7435000000000282, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.4685864448547363, 'x': -1.7430000000000283, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.4741010665893555, 'x': -1.7425000000000284, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.4796156883239746, 'x': -1.7420000000000284, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.4851303100585938, 'x': -1.7415000000000285, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.490645170211792, 'x': -1.7410000000000285, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.496159315109253, 'x': -1.7405000000000286, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.5016741752624512, 'x': -1.7400000000000286, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.5071885585784912, 'x': -1.7395000000000287, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.5127034187316895, 'x': -1.7390000000000287, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.5182178020477295, 'x': -1.7385000000000288, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.5237529277801514, 'x': -1.7380000000000289, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.5292675495147705, 'x': -1.737500000000029, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.5347816944122314, 'x': -1.737000000000029, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.540297269821167, 'x': -1.736500000000029, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.545811653137207, 'x': -1.736000000000029, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.5515077114105225, 'x': -1.7355000000000291, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.5570223331451416, 'x': -1.7350000000000292, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.5625371932983398, 'x': -1.7345000000000292, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.5680510997772217, 'x': -1.7340000000000293, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.5738282203674316, 'x': -1.7335000000000294, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.5793426036834717, 'x': -1.7330000000000294, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.5848572254180908, 'x': -1.7325000000000295, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.5903713703155518, 'x': -1.7320000000000295, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.595886468887329, 'x': -1.7315000000000296, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.6014008522033691, 'x': -1.7310000000000296, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.6069152355194092, 'x': -1.7305000000000297, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.612555742263794, 'x': -1.7300000000000297, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.618070125579834, 'x': -1.7295000000000298, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.6235847473144531, 'x': -1.7290000000000298, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.6291193962097168, 'x': -1.72850000000003, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.6351356506347656, 'x': -1.72800000000003, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.6406500339508057, 'x': -1.72750000000003, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.6461591720581055, 'x': -1.72700000000003, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.6521804332733154, 'x': -1.7265000000000301, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.657907247543335, 'x': -1.7260000000000302, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.6635682582855225, 'x': -1.7255000000000302, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.6690549850463867, 'x': -1.7250000000000303, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.6745665073394775, 'x': -1.7245000000000303, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.6800811290740967, 'x': -1.7240000000000304, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.686094045639038, 'x': -1.7235000000000305, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.6915841102600098, 'x': -1.7230000000000305, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.6972832679748535, 'x': -1.7225000000000306, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.7027688026428223, 'x': -1.7220000000000306, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.7089638710021973, 'x': -1.7215000000000307, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.7144784927368164, 'x': -1.7210000000000307, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
{'time': 1.7204949855804443, 'x': -1.7205000000000308, 'y': 0.0, 'z': 0, 'yaw': 0, 'x_sp': -1.999, 'y_sp': 0.0, 'z_sp': 0.25, 'yaw_sp': 0}
