{'time': 1.0265676975250244, 'x': -0.06295371832808178, 'y': -0.027510562833615287, 'z': 0.045171282604144006, 'yaw': 0.06893684255842542, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0365526676177979, 'x': -0.06296747075572316, 'y': -0.027483335415466166, 'z': 0.045199576730482686, 'yaw': 0.06930578689822281, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0425302982330322, 'x': -0.06290641331200868, 'y': -0.02749793980788337, 'z': 0.04516440092633887, 'yaw': 0.06886468398092065, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.052487850189209, 'x': -0.06297243921764077, 'y': -0.027493264375209756, 'z': 0.04518782316718979, 'yaw': 0.06988795028804332, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0664262771606445, 'x': -0.06296559640943952, 'y': -0.02750174275550919, 'z': 0.045203844567946794, 'yaw': 0.0692132773662536, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0764005184173584, 'x': -0.06296351034328558, 'y': -0.027505426784893795, 'z': 0.04520849246852404, 'yaw': 0.06957368811442405, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0823843479156494, 'x': -0.06295333321527243, 'y': -0.02749557682116253, 'z': 0.04519029050953619, 'yaw': 0.06950366438140851, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0962920188903809, 'x': -0.06298413772669964, 'y': -0.027495789856662515, 'z': 0.045182191955628094, 'yaw': 0.06932002505806364, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1023037433624268, 'x': -0.06294080323426404, 'y': -0.027489141546684512, 'z': 0.04519405851331179, 'yaw': 0.06975286663739859, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1161348819732666, 'x': -0.0629501864057513, 'y': -0.02750032949084049, 'z': 0.04520774991192923, 'yaw': 0.06951989044364992, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1262192726135254, 'x': -0.06298079791289793, 'y': -0.027497638711001273, 'z': 0.04519592316580761, 'yaw': 0.06964754767284392, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1361415386199951, 'x': -0.06297463797112199, 'y': -0.02749424753878056, 'z': 0.04521228222796116, 'yaw': 0.06923930548337595, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1461408138275146, 'x': -0.06293203805906343, 'y': -0.027495990568504883, 'z': 0.04518401431867819, 'yaw': 0.06924639152413481, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.15608811378479, 'x': -0.06297262363351068, 'y': -0.02749986549245567, 'z': 0.04518890279585028, 'yaw': 0.06934464221890417, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1660640239715576, 'x': -0.06296470450403246, 'y': -0.027491895218991893, 'z': 0.04518225398700061, 'yaw': 0.06955972408194133, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1770343780517578, 'x': -0.06297777886079481, 'y': -0.027497262841142133, 'z': 0.0451963874566713, 'yaw': 0.06931740945217299, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.187013864517212, 'x': -0.06296463883651324, 'y': -0.027486692768237897, 'z': 0.045200928521647254, 'yaw': 0.06996289674467013, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1969811916351318, 'x': -0.06295839848269671, 'y': -0.02750094380674217, 'z': 0.045182374538904356, 'yaw': 0.06941834512494299, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2062058448791504, 'x': -0.06298031600712668, 'y': -0.027506259278677208, 'z': 0.04520177701680461, 'yaw': 0.07004131492621749, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2161791324615479, 'x': -0.06294938558961344, 'y': -0.027474915190958137, 'z': 0.045207253591891594, 'yaw': 0.0693102739748183, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2264034748077393, 'x': -0.06298651440712509, 'y': -0.027518178287942105, 'z': 0.04516913462341194, 'yaw': 0.06930564859139568, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2365920543670654, 'x': -0.06296071541085733, 'y': -0.027493574116547115, 'z': 0.04518451614689947, 'yaw': 0.06941304013525536, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2465853691101074, 'x': -0.06295597369150861, 'y': -0.02750562863568156, 'z': 0.04518606551998871, 'yaw': 0.0693605054264555, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.255542516708374, 'x': -0.0629514449413575, 'y': -0.027498020819635687, 'z': 0.045199563421573406, 'yaw': 0.06932662618369623, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2669482231140137, 'x': -0.0629479434567117, 'y': -0.02752114050327199, 'z': 0.04519962063975623, 'yaw': 0.06839113042408669, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2760121822357178, 'x': -0.06293170589189385, 'y': -0.027499731835379727, 'z': 0.04519063246957881, 'yaw': 0.06925200056290526, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2860164642333984, 'x': -0.06295282668652959, 'y': -0.027490776502250173, 'z': 0.045173237450014836, 'yaw': 0.06965687830165913, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2960171699523926, 'x': -0.06295333745936665, 'y': -0.02750651343029554, 'z': 0.045181527608883096, 'yaw': 0.06934546873670354, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3063571453094482, 'x': -0.06294865537693134, 'y': -0.027491150802366568, 'z': 0.04519443856781777, 'yaw': 0.06934277192134379, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.316354751586914, 'x': -0.06296064906494885, 'y': -0.027505281500591918, 'z': 0.04518651445196381, 'yaw': 0.06952618100983525, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3263351917266846, 'x': -0.0629776812731275, 'y': -0.027504643098994083, 'z': 0.04521902795412444, 'yaw': 0.06990541593745656, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.336310863494873, 'x': -0.06294533489861899, 'y': -0.02748432420878602, 'z': 0.0452000398757388, 'yaw': 0.0694986699000889, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3462493419647217, 'x': -0.06296492948573025, 'y': -0.027484206716151188, 'z': 0.04518650590155953, 'yaw': 0.0696922364097247, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3562233448028564, 'x': -0.06292483159581179, 'y': -0.027512591217147993, 'z': 0.04516237527855553, 'yaw': 0.06843453905696475, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3662400245666504, 'x': -0.06294995831331084, 'y': -0.02749562320755031, 'z': 0.04518339479910292, 'yaw': 0.06931860748986061, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.37626314163208, 'x': -0.06298458989409496, 'y': -0.027512089661517882, 'z': 0.0452083488353259, 'yaw': 0.07008123497344428, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3822498321533203, 'x': -0.0629633062861603, 'y': -0.027490739196376807, 'z': 0.045213062935591394, 'yaw': 0.06929981016818716, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3922233581542969, 'x': -0.06295591802336542, 'y': -0.02748613712337413, 'z': 0.04519770037387592, 'yaw': 0.0695916747946158, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.40220046043396, 'x': -0.06294074476909027, 'y': -0.027511003372315854, 'z': 0.04517859502923796, 'yaw': 0.06887398331523549, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4161641597747803, 'x': -0.06294532516525018, 'y': -0.02749259701529514, 'z': 0.04518607695451246, 'yaw': 0.06952776044682508, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4261372089385986, 'x': -0.06294335438321384, 'y': -0.027511048797917163, 'z': 0.04517000231076981, 'yaw': 0.06837943619754577, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4371066093444824, 'x': -0.06298725677106068, 'y': -0.02751300872980863, 'z': 0.045227184354522026, 'yaw': 0.07005437341567226, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.447077989578247, 'x': -0.06298326559530279, 'y': -0.027515090798377016, 'z': 0.0452163779444937, 'yaw': 0.06934566404505949, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4560573101043701, 'x': -0.0629311003103208, 'y': -0.027485375075180417, 'z': 0.04518582496135084, 'yaw': 0.06893937497875773, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4670295715332031, 'x': -0.06293937756903396, 'y': -0.027485900683908517, 'z': 0.04519385584888039, 'yaw': 0.06905782215862738, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4770047664642334, 'x': -0.06296964788527588, 'y': -0.027491975746427432, 'z': 0.045175554949139024, 'yaw': 0.06980063527242475, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4869756698608398, 'x': -0.06296863545612837, 'y': -0.027488259961179744, 'z': 0.045192927568152984, 'yaw': 0.06934341203692729, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.496945858001709, 'x': -0.06297695013911592, 'y': -0.027501576877308784, 'z': 0.045206610734312605, 'yaw': 0.06964122368068598, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.506890058517456, 'x': -0.06297125750857405, 'y': -0.02752332584223771, 'z': 0.045185342029171974, 'yaw': 0.06960697311089607, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5168635845184326, 'x': -0.06298036064883147, 'y': -0.027514203385792798, 'z': 0.04519547865368759, 'yaw': 0.06957695813710696, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.52683687210083, 'x': -0.06294525182065333, 'y': -0.027499240043084378, 'z': 0.04519944159087756, 'yaw': 0.0694109473445025, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5368142127990723, 'x': -0.06294246721506319, 'y': -0.0274788442586606, 'z': 0.04520417408331204, 'yaw': 0.06956804637671975, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.546788215637207, 'x': -0.0629763285822516, 'y': -0.027500811564725277, 'z': 0.04519656591086961, 'yaw': 0.06961949812652256, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5567574501037598, 'x': -0.06298762399956509, 'y': -0.02751239732460958, 'z': 0.04520301747297092, 'yaw': 0.06944290598706375, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5666558742523193, 'x': -0.06296512074268187, 'y': -0.02749567476361689, 'z': 0.045186662193490636, 'yaw': 0.06931216202538666, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5766282081604004, 'x': -0.06295102596693668, 'y': -0.027509668597156492, 'z': 0.045189068090338534, 'yaw': 0.06957436617420858, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.586651086807251, 'x': -0.06294209543154344, 'y': -0.027509059124046026, 'z': 0.045176344046404346, 'yaw': 0.06829977992203519, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5966150760650635, 'x': -0.06295624460408888, 'y': -0.0274902107990572, 'z': 0.04519226920168894, 'yaw': 0.06943282929407231, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6069276332855225, 'x': -0.06295623477365168, 'y': -0.027491079849753686, 'z': 0.04518557234668439, 'yaw': 0.06953446100175857, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6161472797393799, 'x': -0.0629512357614326, 'y': -0.027496674055217576, 'z': 0.04516718307300628, 'yaw': 0.06957379589445313, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6270840167999268, 'x': -0.06297206486234411, 'y': -0.027511069065758113, 'z': 0.04519587251722439, 'yaw': 0.06972093348695899, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.637127161026001, 'x': -0.06294685685452137, 'y': -0.027524242470801083, 'z': 0.04520745113413619, 'yaw': 0.06853428360898081, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.647101879119873, 'x': -0.06296078928998787, 'y': -0.027495296256776682, 'z': 0.04520667302971202, 'yaw': 0.06907232811359906, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6560735702514648, 'x': -0.0629532979242018, 'y': -0.027516850687064952, 'z': 0.04521817086387618, 'yaw': 0.06862992609611102, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.667048692703247, 'x': -0.06294797242447091, 'y': -0.027479216118620663, 'z': 0.045187801356145495, 'yaw': 0.06916113111751412, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6770191192626953, 'x': -0.062954305134469, 'y': -0.027497752216583564, 'z': 0.04518594153921906, 'yaw': 0.06944214061330546, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.68699049949646, 'x': -0.06296349617554434, 'y': -0.02750352359241799, 'z': 0.045194287300207414, 'yaw': 0.06886424440638618, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.695967674255371, 'x': -0.06294992908027447, 'y': -0.027492690342161723, 'z': 0.04517774276050753, 'yaw': 0.06953118865842767, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7069370746612549, 'x': -0.06298369981149195, 'y': -0.02751162386419635, 'z': 0.04520268884571413, 'yaw': 0.06931264735422961, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7169110774993896, 'x': -0.06295040184694989, 'y': -0.02750823261705264, 'z': 0.04521687578192851, 'yaw': 0.06941534209696594, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7268884181976318, 'x': -0.06294977870017512, 'y': -0.02748524652677657, 'z': 0.04519325808948169, 'yaw': 0.06968500871042614, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7378551959991455, 'x': -0.06293256328688947, 'y': -0.027518737243303178, 'z': 0.045178092467491146, 'yaw': 0.06849959435798578, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7464723587036133, 'x': -0.0629767887370994, 'y': -0.02749949141479741, 'z': 0.04518213952561687, 'yaw': 0.06926190482592505, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.75645112991333, 'x': -0.06296259309315025, 'y': -0.027503598850693776, 'z': 0.04517740160861035, 'yaw': 0.06988381640395228, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.76641845703125, 'x': -0.06297190653417792, 'y': -0.027509763168092807, 'z': 0.04520042104691163, 'yaw': 0.06943611533122164, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
