{'time': 1.0398037433624268, 'x': 0.014746440814964366, 'y': 0.010838330863759672, 'z': 0.06106703257493421, 'yaw': -0.0022607824712785884, 'velocity': 0.0022942019750307684, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0497443675994873, 'x': 0.014704233060468029, 'y': 0.010832186873149994, 'z': 0.06108909647632887, 'yaw': 0.0012673741382526907, 'velocity': 0.005346442461287366, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0604925155639648, 'x': 0.014702610801059968, 'y': 0.010855813092456918, 'z': 0.06111425447963922, 'yaw': 0.0013801787335025388, 'velocity': 0.0032145781066167563, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.069467544555664, 'x': 0.014623738000940798, 'y': 0.010931978086678725, 'z': 0.061162762655861215, 'yaw': 0.0029653516651113334, 'velocity': 0.013358850674017668, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0794405937194824, 'x': 0.014652815228039975, 'y': 0.010918436057277188, 'z': 0.0611136360576057, 'yaw': 0.0030069656222921136, 'velocity': 0.005882961986958361, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.08943772315979, 'x': 0.014712246048000026, 'y': 0.010848538998398417, 'z': 0.06112141888501299, 'yaw': 0.001038195067825849, 'velocity': 0.009210354570961497, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1004948616027832, 'x': 0.014683935322977359, 'y': 0.010832105906411102, 'z': 0.061096494637144526, 'yaw': 0.0009662392525059099, 'velocity': 0.004089847649193678, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.11018967628479, 'x': 0.014666592755637359, 'y': 0.010841060617988117, 'z': 0.06114226636948196, 'yaw': 0.0011652189750900076, 'velocity': 0.005132584048299398, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1161987781524658, 'x': 0.01469936285248555, 'y': 0.010847176134123435, 'z': 0.061095522795417155, 'yaw': 0.0012594442829926018, 'velocity': 0.009554322121582555, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1302189826965332, 'x': 0.014741795591658129, 'y': 0.010933020306056989, 'z': 0.061094097722928245, 'yaw': 0.0006824203849801553, 'velocity': 0.00683081781603022, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1403849124908447, 'x': 0.014691801702882574, 'y': 0.010849060434797645, 'z': 0.0610856716683044, 'yaw': 0.0018275266758737531, 'velocity': 0.010635929989600869, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.150407314300537, 'x': 0.01470756331715446, 'y': 0.010843103536042408, 'z': 0.061098412014015564, 'yaw': 0.0013247600652275828, 'velocity': 0.0021076929670274087, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.160367488861084, 'x': 0.014587197347073986, 'y': 0.010818772145313882, 'z': 0.061115817010168286, 'yaw': 0.004624947388714257, 'velocity': 0.012452381042420713, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1704094409942627, 'x': 0.014666137223452945, 'y': 0.010839800793831207, 'z': 0.06113007684112187, 'yaw': 0.00046813446081392173, 'velocity': 0.00825815391767319, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1804249286651611, 'x': 0.014682725590106195, 'y': 0.010839808658063029, 'z': 0.06112014423718561, 'yaw': 0.0011279402004862474, 'velocity': 0.002133757984586904, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
