{'time': 1.0382509231567383, 'x': -1.2790560313417771, 'y': -0.041262985844042914, 'z': 0.06265469046145071, 'yaw': 0.04726221467133591, 'velocity': 0.00036951385945417083, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0487940311431885, 'x': -1.2790800092332888, 'y': -0.04126309954448942, 'z': 0.06265685942202977, 'yaw': 0.046337687526115605, 'velocity': 0.0025232330280054904, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0587942600250244, 'x': -1.2790505280101412, 'y': -0.04130922241300556, 'z': 0.06261201797435376, 'yaw': 0.045891333769475275, 'velocity': 0.007076007167735166, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.069258689880371, 'x': -1.2790720324452367, 'y': -0.04124220598639251, 'z': 0.06263302179439365, 'yaw': 0.04669333925197588, 'velocity': 0.007362316629195086, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.075265645980835, 'x': -1.2790754814311067, 'y': -0.041252467486401774, 'z': 0.06264675789073197, 'yaw': 0.04625561765486181, 'velocity': 0.002911501280517382, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0842273235321045, 'x': -1.2790706256186255, 'y': -0.041266556823688044, 'z': 0.0626498190346605, 'yaw': 0.046587097936620414, 'velocity': 0.002541671165963469, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.094242811203003, 'x': -1.2790594296920326, 'y': -0.04122688528176046, 'z': 0.06268529577609316, 'yaw': 0.04667003468162228, 'velocity': 0.009092000018065207, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1082050800323486, 'x': -1.2790613622578157, 'y': -0.04128235136141471, 'z': 0.06265113618735524, 'yaw': 0.04614555252757013, 'velocity': 0.006533962976400506, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1180908679962158, 'x': -1.2790763484091492, 'y': -0.04126450022249605, 'z': 0.06266634805223036, 'yaw': 0.04684953917278956, 'velocity': 0.0031308806657830124, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1290619373321533, 'x': -1.2790679607402387, 'y': -0.04125450710006048, 'z': 0.06266708714624863, 'yaw': 0.04662406757793585, 'velocity': 0.001310227072586748, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1384990215301514, 'x': -1.2790669079918096, 'y': -0.04125006147224829, 'z': 0.06264024210467391, 'yaw': 0.04619642612942995, 'velocity': 0.002885532627259549, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1484735012054443, 'x': -1.2790588849095912, 'y': -0.04127562436829423, 'z': 0.06264575253346569, 'yaw': 0.046865843048752895, 'velocity': 0.0027423162459368562, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.158447027206421, 'x': -1.279021241792548, 'y': -0.041327152652745176, 'z': 0.06261831350913771, 'yaw': 0.04417998856427612, 'velocity': 0.006964709612479744, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1684885025024414, 'x': -1.2790726262716634, 'y': -0.04126111450464784, 'z': 0.06267295518609259, 'yaw': 0.04691865453739826, 'velocity': 0.009952277835565246, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.179250717163086, 'x': -1.2790482369960772, 'y': -0.04126707825590452, 'z': 0.06261797818708387, 'yaw': 0.0465232584339161, 'velocity': 0.005615852169387497, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1884584426879883, 'x': -1.2790835893917947, 'y': -0.041273013222773575, 'z': 0.06264820202475745, 'yaw': 0.04651581461274094, 'velocity': 0.005092258981086947, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.198537826538086, 'x': -1.2790884016440358, 'y': -0.04123641625770933, 'z': 0.06267649095740811, 'yaw': 0.046694380558591174, 'velocity': 0.004613920560966356, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.204516887664795, 'x': -1.2790599351159355, 'y': -0.041243843920734685, 'z': 0.06264865134881979, 'yaw': 0.046548854300069165, 'velocity': 0.006774273023195251, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2145366668701172, 'x': -1.27906431153566, 'y': -0.04128058429296309, 'z': 0.06264323625923429, 'yaw': 0.0476133203625218, 'velocity': 0.006678145414179171, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2283618450164795, 'x': -1.2790488134559101, 'y': -0.04127105364954338, 'z': 0.06265966465125075, 'yaw': 0.04656718684293634, 'velocity': 0.0025272820387465876, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.238440752029419, 'x': -1.27906046702487, 'y': -0.04126227191565886, 'z': 0.06262712981213885, 'yaw': 0.046447933565634994, 'velocity': 0.003537810314553092, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2485442161560059, 'x': -1.2790833477769818, 'y': -0.04125807679443464, 'z': 0.06264343402981776, 'yaw': 0.046807311273640885, 'velocity': 0.0028116059591807145, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.258671760559082, 'x': -1.2790863377126256, 'y': -0.041247375313368764, 'z': 0.06267052139727199, 'yaw': 0.04674633109012287, 'velocity': 0.0032087745314901034, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.268643856048584, 'x': -1.279072441609742, 'y': -0.041240982224926705, 'z': 0.06265986875454042, 'yaw': 0.04653784116117533, 'velocity': 0.0018692225521945475, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.279125690460205, 'x': -1.279066257527274, 'y': -0.04126210882503196, 'z': 0.06264656711540505, 'yaw': 0.0467931380510074, 'velocity': 0.0027046279509157292, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2892000675201416, 'x': -1.2790587306755228, 'y': -0.04124683929810287, 'z': 0.06266838144571307, 'yaw': 0.04637811048716574, 'velocity': 0.0027466580029604257, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2991008758544922, 'x': -1.2790693798133939, 'y': -0.041262899426818184, 'z': 0.06266011193296127, 'yaw': 0.046064029898264594, 'velocity': 0.0021179506336025276, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.309138298034668, 'x': -1.2790749050969143, 'y': -0.0412523443209004, 'z': 0.06265271329332436, 'yaw': 0.046613522223497905, 'velocity': 0.0013971938977598215, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3186633586883545, 'x': -1.279076415392728, 'y': -0.041267304589934835, 'z': 0.06264375558771895, 'yaw': 0.046807425445137774, 'velocity': 0.0018375019919720664, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3284978866577148, 'x': -1.2790796941741003, 'y': -0.04126129959614516, 'z': 0.06265649378057975, 'yaw': 0.046852402414777734, 'velocity': 0.0014702606327690563, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3384730815887451, 'x': -1.2790563855584829, 'y': -0.041250908318381845, 'z': 0.06263523010029905, 'yaw': 0.04673579838331572, 'velocity': 0.0037009257624880994, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.349442720413208, 'x': -1.2790659041816619, 'y': -0.04125440871065611, 'z': 0.06261540812955659, 'yaw': 0.046518185563110825, 'velocity': 0.0022328141690470906, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
