{'time': 1.038562297821045, 'x': -1.2879748169796938, 'y': -0.03460077188190554, 'z': 0.061075526004632695, 'yaw': 0.056891621982386176, 'velocity': 0.005774489633232498, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0485353469848633, 'x': -1.2879222435852236, 'y': -0.034686225228987365, 'z': 0.06101601065567812, 'yaw': 0.055876323982960475, 'velocity': 0.011696991826238992, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0545194149017334, 'x': -1.2879251428929006, 'y': -0.03469959768933892, 'z': 0.061007120256186584, 'yaw': 0.05488278711131262, 'velocity': 0.0027268602396658343, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.068532943725586, 'x': -1.2879410390422523, 'y': -0.034722478930084816, 'z': 0.06104001002866278, 'yaw': 0.05670438068801197, 'velocity': 0.003075902210777919, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0775301456451416, 'x': -1.2879298667237624, 'y': -0.03467614671212728, 'z': 0.06101027932099094, 'yaw': 0.05474533314064727, 'velocity': 0.006243389625837927, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0885274410247803, 'x': -1.2879390748312003, 'y': -0.034692716224485186, 'z': 0.061014480563787145, 'yaw': 0.05532184580990967, 'velocity': 0.0017655422586869054, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0985009670257568, 'x': -1.2879710715546482, 'y': -0.034621753254445366, 'z': 0.06110247170163558, 'yaw': 0.05688080411634139, 'velocity': 0.013087418434202783, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1085307598114014, 'x': -1.2879546494287857, 'y': -0.03463312491838217, 'z': 0.06104342138431279, 'yaw': 0.05533079816209737, 'velocity': 0.006215214718648403, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1185081005096436, 'x': -1.2879651905939753, 'y': -0.0346780452275757, 'z': 0.06101847920045403, 'yaw': 0.0560960581409015, 'velocity': 0.005256969482418229, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.128509283065796, 'x': -1.2879228817125656, 'y': -0.034694027070124867, 'z': 0.06098067668661102, 'yaw': 0.05571930153420664, 'velocity': 0.005893784166309856, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1384859085083008, 'x': -1.287916636885403, 'y': -0.0346798767622183, 'z': 0.061010883101786526, 'yaw': 0.0541522302216627, 'velocity': 0.003401557623340742, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1484568119049072, 'x': -1.2879690183097692, 'y': -0.03469198632337283, 'z': 0.06098050833553283, 'yaw': 0.05477191863398224, 'velocity': 0.006193035025101807, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.157454252243042, 'x': -1.2879389628929863, 'y': -0.034675763697650096, 'z': 0.061029884979910305, 'yaw': 0.0545643949554702, 'velocity': 0.0066727804083163865, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1684048175811768, 'x': -1.2879375426581208, 'y': -0.034703665573537226, 'z': 0.061021101057336456, 'yaw': 0.05575633939819143, 'velocity': 0.002935845244976255, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1784358024597168, 'x': -1.287938491901249, 'y': -0.03470650159457687, 'z': 0.060998087349548494, 'yaw': 0.05659279096364001, 'velocity': 0.002568626846210485, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1883478164672852, 'x': -1.2879521398197828, 'y': -0.034697374998590186, 'z': 0.06100183011664774, 'yaw': 0.05564458033212275, 'velocity': 0.0018765603833080847, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1983420848846436, 'x': -1.2879480538980856, 'y': -0.034690059357110045, 'z': 0.061014988779661425, 'yaw': 0.05568931786409516, 'velocity': 0.001734161574776645, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2083630561828613, 'x': -1.2879617300228094, 'y': -0.03471866898813755, 'z': 0.060992772126487745, 'yaw': 0.05677733729503758, 'velocity': 0.0038637534202409134, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2183809280395508, 'x': -1.2879697663589542, 'y': -0.03465132913570103, 'z': 0.06102171825255408, 'yaw': 0.05467930377073559, 'velocity': 0.008175378869349192, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2283935546875, 'x': -1.2879142417507157, 'y': -0.03477466458380284, 'z': 0.06096630100904542, 'yaw': 0.053673856458116335, 'velocity': 0.014598572662342218, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2373924255371094, 'x': -1.2879239442373973, 'y': -0.034667290049225, 'z': 0.061019863176811635, 'yaw': 0.05501672617402008, 'velocity': 0.014968800190542272, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2483148574829102, 'x': -1.2879274832318557, 'y': -0.034687708694700475, 'z': 0.06100394670059284, 'yaw': 0.0555436423064091, 'velocity': 0.0026201294477086402, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2582755088806152, 'x': -1.2879595341180015, 'y': -0.034653501190357365, 'z': 0.06103348796260714, 'yaw': 0.056088298584379005, 'velocity': 0.005562735831427655, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2682616710662842, 'x': -1.2879492042879808, 'y': -0.03468889309944313, 'z': 0.06099328549662196, 'yaw': 0.05609083490287943, 'velocity': 0.006067162173532467, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2782211303710938, 'x': -1.2879749156409996, 'y': -0.03467806925630695, 'z': 0.06101905280060057, 'yaw': 0.056205456495936695, 'velocity': 0.004229956845590675, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.288193941116333, 'x': -1.287934702338007, 'y': -0.03472292903367172, 'z': 0.061016531829946236, 'yaw': 0.055949374022120815, 'velocity': 0.006717005575134009, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2991652488708496, 'x': -1.2879194103088536, 'y': -0.03469175266433754, 'z': 0.06105465032124524, 'yaw': 0.05594581643412999, 'velocity': 0.0051703203305255244, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3081715106964111, 'x': -1.287938555873337, 'y': -0.034644071808092376, 'z': 0.061075417531258884, 'yaw': 0.056144495242468354, 'velocity': 0.006153413589188477, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3182463645935059, 'x': -1.287951907765217, 'y': -0.03466483689930923, 'z': 0.06101259887513442, 'yaw': 0.05490258499586205, 'velocity': 0.007427826225394704, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3281280994415283, 'x': -1.2879428514249585, 'y': -0.034673519446800825, 'z': 0.061038293674132486, 'yaw': 0.05809857410942082, 'velocity': 0.002893638780849791, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3381166458129883, 'x': -1.287979919063706, 'y': -0.034677411042447044, 'z': 0.06104705104844696, 'yaw': 0.054751703986972974, 'velocity': 0.003833026992690877, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3480956554412842, 'x': -1.2879348311785364, 'y': -0.034720063944951696, 'z': 0.060956279852152184, 'yaw': 0.05636666350416277, 'velocity': 0.012258810288104308, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3580482006072998, 'x': -1.2879232985435782, 'y': -0.03463883073974259, 'z': 0.0610712323220316, 'yaw': 0.05617409562889869, 'velocity': 0.015737969817250234, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3680212497711182, 'x': -1.2879326375362399, 'y': -0.03470702024812522, 'z': 0.06104216028616158, 'yaw': 0.05560902148528989, 'velocity': 0.00832400976571856, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3790149688720703, 'x': -1.2879309662336211, 'y': -0.03470038709272606, 'z': 0.06102077579829208, 'yaw': 0.05557698386230777, 'velocity': 0.002251473764926216, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3879952430725098, 'x': -1.2879459692707471, 'y': -0.03466822633919985, 'z': 0.06098842818004404, 'yaw': 0.05585176832193332, 'velocity': 0.005347105259788238, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3979706764221191, 'x': -1.2879357879488627, 'y': -0.034709288562511306, 'z': 0.06100070300707932, 'yaw': 0.05633324427399935, 'velocity': 0.004906411234152675, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.408003330230713, 'x': -1.2879497664098662, 'y': -0.034648856774173176, 'z': 0.06104650913890316, 'yaw': 0.055034162955188225, 'velocity': 0.007685675111998608, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
