{'time': 1.0403118133544922, 'x': -1.2882994592249297, 'y': -0.03563305759982453, 'z': 0.06106943952089045, 'yaw': 0.04007816379637286, 'velocity': 0.02395496396445494, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0553417205810547, 'x': -1.2883030360434429, 'y': -0.03562085886418029, 'z': 0.06115461653172422, 'yaw': 0.044043544925563, 'velocity': 0.008577896057618196, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0652751922607422, 'x': -1.2882946172720757, 'y': -0.035650015885345415, 'z': 0.06113479849334982, 'yaw': 0.04371637728956851, 'velocity': 0.0036488610839117, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0745878219604492, 'x': -1.2883028485964156, 'y': -0.03557778906790581, 'z': 0.06116686654627299, 'yaw': 0.042210782451222215, 'velocity': 0.00853177983287829, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0847818851470947, 'x': -1.2883054684908049, 'y': -0.03564605453365167, 'z': 0.06106487635629298, 'yaw': 0.03952753716195115, 'velocity': 0.012041911230967617, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0956799983978271, 'x': -1.2884720918788206, 'y': -0.035347960453860336, 'z': 0.061425405561861685, 'yaw': 0.03586463597464282, 'velocity': 0.05017374252066871, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1052756309509277, 'x': -1.2883298691204292, 'y': -0.035620934237995276, 'z': 0.06116397543401747, 'yaw': 0.04380466536690843, 'velocity': 0.04208593792535593, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.114274024963379, 'x': -1.2884030744864468, 'y': -0.035422413585744134, 'z': 0.06130744966129753, 'yaw': 0.03307289240217777, 'velocity': 0.028410061505637636, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1251931190490723, 'x': -1.2883413181580088, 'y': -0.03556265709820133, 'z': 0.06117734880204932, 'yaw': 0.04202324134865195, 'velocity': 0.018409788184898183, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1311705112457275, 'x': -1.28845617719887, 'y': -0.035356495680103774, 'z': 0.06145345633889642, 'yaw': 0.03550916461656516, 'velocity': 0.060766028690011985, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1451592445373535, 'x': -1.2884550483819626, 'y': -0.03536884682575279, 'z': 0.061454018771453366, 'yaw': 0.03597187028099882, 'velocity': 0.0012418932697577912, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
