{'time': 1.0398058891296387, 'x': 0.004417253520939796, 'y': 0.006393705389661763, 'z': 0.04284529714492773, 'yaw': 0.07231473271882716, 'velocity': 0.00269590715265101, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0497255325317383, 'x': 0.004445042686462884, 'y': 0.0063879259804569535, 'z': 0.04283779013303132, 'yaw': 0.07160488315570404, 'velocity': 0.0029597579244532916, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.055673599243164, 'x': 0.004439580077970143, 'y': 0.0063776245610201, 'z': 0.042836488388667826, 'yaw': 0.0718734434467084, 'velocity': 0.001972506239946172, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0698225498199463, 'x': 0.004436053585523797, 'y': 0.0063663970823475404, 'z': 0.04284567994960575, 'yaw': 0.07287534543510518, 'velocity': 0.0014969911611848617, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0758049488067627, 'x': 0.004412162766335519, 'y': 0.006383245294527173, 'z': 0.042838988161441556, 'yaw': 0.07231608226892922, 'velocity': 0.005013076505380823, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.085777997970581, 'x': 0.00441867338620472, 'y': 0.0063664756774506615, 'z': 0.042821299989722, 'yaw': 0.07172817815440811, 'velocity': 0.0042161208397154554, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0996735095977783, 'x': 0.004418535931011576, 'y': 0.00637087588975777, 'z': 0.042858120362247995, 'yaw': 0.07191239441575213, 'velocity': 0.002668676008518171, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1056807041168213, 'x': 0.004424552821708247, 'y': 0.006370093419894832, 'z': 0.04285160815835278, 'yaw': 0.07263218625150171, 'velocity': 0.0014816880440898105, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1196198463439941, 'x': 0.004423296583390641, 'y': 0.00640627455517071, 'z': 0.04282411301536198, 'yaw': 0.07252847625474633, 'velocity': 0.0032613386767866227, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.12972092628479, 'x': 0.004444131731463078, 'y': 0.006367984464188329, 'z': 0.042836638736886874, 'yaw': 0.07171602155729839, 'velocity': 0.004490170856174242, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.139603614807129, 'x': 0.004427058857655066, 'y': 0.006333388401836502, 'z': 0.04281988237531165, 'yaw': 0.07248312753626311, 'velocity': 0.004256050326352717, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1495730876922607, 'x': 0.004421281127993548, 'y': 0.006407460837013778, 'z': 0.04283998866695676, 'yaw': 0.07189361129949343, 'velocity': 0.007720562072485421, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.155559778213501, 'x': 0.004399909140177142, 'y': 0.006424259161527042, 'z': 0.042821523793099024, 'yaw': 0.07198565057643835, 'velocity': 0.005489140999435905, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1696972846984863, 'x': 0.004409698856718039, 'y': 0.006381221475572156, 'z': 0.042842336336594775, 'yaw': 0.07275362327529195, 'velocity': 0.003451668145343363, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1757068634033203, 'x': 0.004427390360428249, 'y': 0.0063518517908256215, 'z': 0.04284230770954791, 'yaw': 0.07209579783013252, 'velocity': 0.0057053191551452625, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1897034645080566, 'x': 0.00439928064823777, 'y': 0.006386358887189228, 'z': 0.042803571008225995, 'yaw': 0.07253909550753135, 'velocity': 0.005915034686920174, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1956875324249268, 'x': 0.004430625436930564, 'y': 0.006386492706799489, 'z': 0.04286599572712092, 'yaw': 0.07244107756953132, 'velocity': 0.011673064410493211, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.209202527999878, 'x': 0.0043996743001383605, 'y': 0.006407054778784192, 'z': 0.04287646642699819, 'yaw': 0.07258638513166232, 'velocity': 0.004221949539493366, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2201850414276123, 'x': 0.004415025139518837, 'y': 0.006411860235650462, 'z': 0.042823976521876105, 'yaw': 0.0724576834021212, 'velocity': 0.005490849512101716, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2293171882629395, 'x': 0.0044138713566634425, 'y': 0.006372435965874651, 'z': 0.04283628112946979, 'yaw': 0.07255693444109665, 'velocity': 0.004524231772201517, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2391715049743652, 'x': 0.004422840741862538, 'y': 0.0063479521607093786, 'z': 0.04284485836223323, 'yaw': 0.07279465863225824, 'velocity': 0.0027855313710399903, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2495746612548828, 'x': 0.004446363857676744, 'y': 0.006388743570018712, 'z': 0.042838525460536445, 'yaw': 0.07151577981524226, 'velocity': 0.0045670669365989736, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2602102756500244, 'x': 0.004416734199618353, 'y': 0.006408849546272086, 'z': 0.04284964567537825, 'yaw': 0.07212225136986258, 'velocity': 0.003525357927255414, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2701301574707031, 'x': 0.004431224420069411, 'y': 0.006374988861758485, 'z': 0.04284394350215594, 'yaw': 0.07228548997902162, 'velocity': 0.0037570664864293828, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.280102252960205, 'x': 0.00440631207873539, 'y': 0.0063772558063136565, 'z': 0.04282416686116854, 'yaw': 0.0726888891422852, 'velocity': 0.0031977777656643142, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2893424034118652, 'x': 0.004431391423958808, 'y': 0.006384594115916531, 'z': 0.042798409468036126, 'yaw': 0.07247122023850172, 'velocity': 0.003970879074971995, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.299314022064209, 'x': 0.004444507734150339, 'y': 0.006382745228152002, 'z': 0.04284044029701231, 'yaw': 0.07199918721444824, 'velocity': 0.004910793217964752, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3093328475952148, 'x': 0.004424704306820345, 'y': 0.0063884373865781205, 'z': 0.04287788975675495, 'yaw': 0.07223109622929333, 'velocity': 0.004266355375837065, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.319305181503296, 'x': 0.0044270982763503575, 'y': 0.0063959234294610765, 'z': 0.04283903438129921, 'yaw': 0.07189000987008808, 'velocity': 0.0039752281305644776, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.329298496246338, 'x': 0.004414745934788814, 'y': 0.0063783957564811904, 'z': 0.04281173160451432, 'yaw': 0.07279603215474728, 'velocity': 0.003859109292642392, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3392784595489502, 'x': 0.004434034402815282, 'y': 0.006356673031273661, 'z': 0.04282133673499593, 'yaw': 0.0727295708352927, 'velocity': 0.0030658493420307534, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3492560386657715, 'x': 0.0044066056755298864, 'y': 0.006365660650087243, 'z': 0.042835810827519694, 'yaw': 0.07249415868470267, 'velocity': 0.0035854174566342435, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3601951599121094, 'x': 0.004429816395432908, 'y': 0.006401905702129559, 'z': 0.04284792592881753, 'yaw': 0.07193580843268521, 'velocity': 0.004483129079056315, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
