{'time': 1.031473159790039, 'x': -0.02412097422524037, 'y': 0.0788571089204612, 'z': 0.05028892939834878, 'yaw': -0.0682439325638251, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.0375144481658936, 'x': -0.024136780059645577, 'y': 0.07885638063391917, 'z': 0.050289388746842155, 'yaw': -0.06912153595620207, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.0469317436218262, 'x': -0.024079390399370872, 'y': 0.0788647858021083, 'z': 0.050250515835951845, 'yaw': -0.06907018769233986, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.0575580596923828, 'x': -0.02427001070398734, 'y': 0.0789408471600819, 'z': 0.050289880605376105, 'yaw': -0.06030711537175204, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.0711712837219238, 'x': -0.024343486292473442, 'y': 0.0789423748862052, 'z': 0.050299762464544186, 'yaw': -0.06061355775291588, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.0811927318572998, 'x': -0.02413468112201147, 'y': 0.07894159116181666, 'z': 0.0505941878909623, 'yaw': -0.06633189045497545, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.0872087478637695, 'x': -0.024343699959627246, 'y': 0.07886865443214175, 'z': 0.05021597972125964, 'yaw': -0.05507140652196796, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.0972352027893066, 'x': -0.024166897533330227, 'y': 0.07894382299394213, 'z': 0.05042417369382414, 'yaw': -0.06331943366110071, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.107262134552002, 'x': -0.023859298847218623, 'y': 0.07896424689092141, 'z': 0.0507983611132845, 'yaw': -0.07175174878849866, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.1212999820709229, 'x': -0.024138858400875065, 'y': 0.07890638393866593, 'z': 0.0505061932985821, 'yaw': -0.06133313238707583, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.127314805984497, 'x': -0.023968425300242995, 'y': 0.07893064355804803, 'z': 0.05071000617781189, 'yaw': -0.0640585856054221, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.1413486003875732, 'x': -0.023637863470437094, 'y': 0.07897221153934429, 'z': 0.051078301748944836, 'yaw': -0.0798402054150662, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.1473660469055176, 'x': -0.023359185720667003, 'y': 0.07909272660483477, 'z': 0.05111005499967826, 'yaw': -0.07677514652676809, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.1613991260528564, 'x': -0.023200342602277498, 'y': 0.0792525364317589, 'z': 0.05120192833025256, 'yaw': -0.0836681919722535, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.1714365482330322, 'x': -0.022881011044823867, 'y': 0.07928341905637225, 'z': 0.05170783311414028, 'yaw': -0.08902615672303327, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.1805245876312256, 'x': -0.022589738960407002, 'y': 0.07958323311228663, 'z': 0.051891072734573516, 'yaw': -0.09421065901893755, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.1905438899993896, 'x': -0.02256101532855082, 'y': 0.07965056671646631, 'z': 0.05271925132048642, 'yaw': -0.08944004483508294, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.2015528678894043, 'x': -0.022316212294156312, 'y': 0.08009157132634528, 'z': 0.0536074548129026, 'yaw': -0.09148256898686657, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.2106904983520508, 'x': -0.022005916758572615, 'y': 0.08042199433760434, 'z': 0.054833476594330355, 'yaw': -0.09455152472718176, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.2210216522216797, 'x': -0.02163161637342296, 'y': 0.08107566051838683, 'z': 0.056316508958607986, 'yaw': -0.10476162337812056, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.231053352355957, 'x': -0.0209482864393297, 'y': 0.08194847083892931, 'z': 0.05856146120239407, 'yaw': -0.1207281939712761, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.2407569885253906, 'x': -0.020375041271474825, 'y': 0.08277224100575534, 'z': 0.06098248009038365, 'yaw': -0.12655279616890613, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.2467997074127197, 'x': -0.020249629187783606, 'y': 0.08405660937448108, 'z': 0.06329749231084095, 'yaw': -0.1316170780375172, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.257298469543457, 'x': -0.01990981439972507, 'y': 0.08549893252353413, 'z': 0.06642321861744423, 'yaw': -0.1327261069258201, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.267381191253662, 'x': -0.019528178518129054, 'y': 0.08727866129556719, 'z': 0.06954435888121602, 'yaw': -0.1396648888530887, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.2816243171691895, 'x': -0.019696562173678257, 'y': 0.08962324645227095, 'z': 0.07268168317880488, 'yaw': -0.14202247847509408, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
